game_id,period,teamTricode,period_points,possessions,major_runs,run_points,pts_per_poss,game_control_index
S2324-G0020,4,ORL,18.0,24,0,104.0,0.72,0.536
S2324-G0021,1,OKC,28.0,27,0,123.0,1.0,0.723
S2324-G0021,1,SAS,25.0,25,0,87.0,0.9615384615384616,0.6639230769230768
S2324-G0021,2,OKC,30.0,26,0,123.0,1.1111111111111112,0.7896666666666666
S2324-G0021,2,SAS,23.0,25,0,87.0,0.8846153846153846,0.6177692307692307
S2324-G0021,3,OKC,33.0,29,0,123.0,1.1,0.783
S2324-G0021,3,SAS,18.0,28,0,87.0,0.6206896551724138,0.4594137931034483
S2324-G0021,4,OKC,32.0,24,0,123.0,1.28,0.891
S2324-G0021,4,SAS,21.0,23,0,87.0,0.875,0.612
S2324-G0022,1,DAL,26.0,23,0,110.0,1.0833333333333333,0.7599999999999999
S2324-G0022,1,NOP,33.0,26,0,131.0,1.2222222222222223,0.8643333333333334
S2324-G0022,2,DAL,28.0,24,0,110.0,1.12,0.782
S2324-G0022,2,NOP,37.0,23,0,131.0,1.5416666666666667,1.056
S2324-G0022,3,DAL,31.0,24,0,110.0,1.24,0.854
S2324-G0022,3,NOP,44.0,29,0,131.0,1.4666666666666666,1.011
S2324-G0022,4,DAL,25.0,25,0,110.0,0.9615384615384616,0.6869230769230769
S2324-G0022,4,NOP,17.0,24,0,131.0,0.68,0.539
S2324-G0023,1,POR,28.0,23,0,99.0,1.1666666666666667,0.799
S2324-G0023,1,UTA,36.0,25,0,115.0,1.3846153846153846,0.9457692307692307
S2324-G0023,2,POR,30.0,30,0,99.0,0.967741935483871,0.6796451612903226
S2324-G0023,2,UTA,31.0,30,0,115.0,1.0,0.715
S2324-G0023,3,POR,28.0,20,0,99.0,1.3333333333333333,0.8989999999999999
S2324-G0023,3,UTA,28.0,24,0,115.0,1.12,0.787
S2324-G0023,4,POR,13.0,18,0,99.0,0.6842105263157895,0.5095263157894737
S2324-G0023,4,UTA,20.0,20,0,115.0,0.9523809523809523,0.6864285714285714
S2324-G0024,1,DEN,28.0,21,0,111.0,1.2727272727272727,0.8746363636363635
S2324-G0024,1,LAC,26.0,21,0,108.0,1.1818181818181819,0.8170909090909091
S2324-G0024,2,DEN,32.0,20,0,111.0,1.5238095238095237,1.0252857142857141
S2324-G0024,2,LAC,26.0,21,0,108.0,1.1818181818181819,0.8170909090909091
S2324-G0024,3,DEN,24.0,21,0,111.0,1.0909090909090908,0.7655454545454544
S2324-G0024,3,LAC,32.0,22,0,108.0,1.391304347826087,0.9427826086956521
S2324-G0024,4,DEN,27.0,19,0,111.0,1.35,0.921
S2324-G0024,4,LAC,24.0,20,0,108.0,1.1428571428571428,0.7937142857142856
S2324-G0025,1,GSW,30.0,26,0,101.0,1.1111111111111112,0.7676666666666666
S2324-G0025,1,MIN,22.0,25,0,104.0,0.8461538461538461,0.6116923076923076
S2324-G0025,2,GSW,29.0,26,0,101.0,1.0740740740740742,0.7454444444444445
S2324-G0025,2,MIN,32.0,28,0,104.0,1.103448275862069,0.7660689655172414
S2324-G0025,3,GSW,24.0,25,0,101.0,0.9230769230769231,0.6548461538461539
S2324-G0025,3,MIN,22.0,23,0,104.0,0.9166666666666666,0.6539999999999999
S2324-G0025,4,GSW,18.0,20,0,101.0,0.8571428571428571,0.6152857142857142
S2324-G0025,4,MIN,28.0,22,0,104.0,1.2173913043478262,0.8344347826086956
S2324-G0026,1,LAL,37.0,21,0,134.0,1.6818181818181819,1.1430909090909092
S2324-G0026,1,MEM,26.0,23,1,107.0,1.0833333333333333,1.057
S2324-G0026,2,LAL,37.0,27,0,134.0,1.3214285714285714,0.9268571428571428
S2324-G0026,2,MEM,25.0,27,1,107.0,0.8928571428571429,0.9427142857142856
S2324-G0026,3,LAL,33.0,22,0,134.0,1.434782608695652,0.9948695652173912
S2324-G0026,3,MEM,35.0,24,1,107.0,1.4,1.2469999999999999
S2324-G0026,4,LAL,27.0,23,0,134.0,1.125,0.8089999999999999
S2324-G0026,4,MEM,21.0,22,1,107.0,0.9130434782608695,0.9548260869565217
S2324-G0027,1,CHA,37.0,26,0,99.0,1.3703703703703705,0.9212222222222223
S2324-G0027,1,MIL,28.0,25,0,130.0,1.0769230769230769,0.7761538461538461
S2324-G0027,2,CHA,20.0,18,0,99.0,1.0526315789473684,0.730578947368421
