game_id,playerNameI,period,y_true_drop,y_pred_drop,severity,reason
S2324-G0129,C. McCollum,2,16.746520146520147,17.044304488591994,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0129,M. Ryan,1,14.990000000000002,8.181893991527023,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0136,C. Thomas,2,0.0761904761904759,11.057765170293402,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0136,C. Thomas,3,7.600000000000001,11.150058875428034,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0136,J. Tatum,1,-9.724675324675324,9.452556335150897,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0136,J. Tatum,2,27.22242424242424,18.325119709443925,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0136,S. Dinwiddie,3,21.438095238095244,15.911629222637202,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0141,J. Poeltl,3,23.959047619047617,11.482979828636038,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0141,K. Johnson,4,20.473809523809525,8.040034126274175,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0141,O. Anunoby,1,11.575,7.866367787531707,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0141,S. Barnes,3,-11.240043859649116,10.309432699828308,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0141,S. Barnes,4,33.36754385964912,17.37393672412506,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,J. Embiid,1,-9.894848484848485,9.193277983744514,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,J. Embiid,2,-20.2852380952381,12.645457483567952,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,J. Poole,3,12.512307692307694,10.648830050903948,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,K. Kuzma,2,18.61948051948052,21.630732102689763,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,T. Harris,1,6.3941558441558435,9.288124160290913,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,T. Jones,3,14.96060606060606,11.601124406247848,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0148,T. Maxey,3,-2.293939393939393,8.002011682562907,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0156,B. Ingram,1,-0.3095238095238066,8.020700398711769,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0156,J. Hawkins,2,14.720833333333337,17.080129783502944,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0156,J. Strawther,2,-14.611942959001777,8.241292083938976,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0156,K. Caldwell-Pope,3,4.589047619047619,9.278514127969467,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0156,M. Porter Jr.,1,12.30995670995671,9.346575911962818,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0156,N. Jokic,1,16.04583333333333,22.438024430350023,HIGH,Predicted next-period drop in performance (fatigue risk).
